Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
3518319	2430	2540	110	60100	11000	6010	0	17010	16912
4518320	2430	2540	110	60100	11000	6010	0	17010	16909
5518321	2430	2540	110	60100	11000	6010	0	17010	16916
6518323	2430	2540	110	60100	11000	6010	0	17010	16913
7518324	2430	2540	110	60100	11000	6010	0	17010	16914
8518326	2430	2540	110	60100	11000	6010	0	17010	16915
9518328	2430	2540	110	60100	11000	6010	0	17010	16912
518329	2430	2540	110	60100	11000	6010	0	17010	16909
1518327	2430	2539	109	60100	10900	6010	-1000	15910	16913
2518331	2430	2539	109	60100	10900	6010	0	16910	16812
3518331	2430	2539	109	60100	10900	6010	0	16910	16813
4518332	2430	2539	109	60100	10900	6010	0	16910	16814
5518333	2430	2539	109	60100	10900	6010	0	16910	16814
6518334	2430	2539	109	60100	10900	6010	0	16910	16814
7518335	2430	2539	109	60100	10900	6010	0	16910	16813
8518336	2430	2539	109	60100	10900	6010	0	16910	16811
9518338	2430	2539	109	60100	10900	6010	0	16910	16816
518340	2430	2539	109	60100	10900	6010	0	16910	16816
1518338	2430	2538	108	60100	10800	6010	-1000	15810	16815
2518342	2430	2538	108	60100	10800	6010	-1000	15810	17806
3518346	2430	2538	108	60100	10800	6010	0	16810	16711
4518346	2430	2538	108	60100	10800	6010	0	16810	16714
5518347	2430	2538	108	60100	10800	6010	0	16810	16711
6518348	2430	2538	108	60100	10800	6010	0	16810	16713
7518318	2430	2538	108	60100	10800	6010	0	16810	16714
8518319	2430	2538	108	60100	10800	6010	0	16810	16711
9518321	2430	2538	108	60100	10800	6010	0	16810	16711
518322	2430	2538	108	60100	10800	6010	0	16810	16714
1518320	2430	2538	108	60100	10800	6010	0	16810	16713
2518319	2430	2538	108	60100	10800	6010	0	16810	16714
3518319	2430	2537	107	60100	10700	6010	-1000	15710	17704
4518324	2430	2537	107	60100	10700	6010	0	16710	16616
